iter	Passed	Remaining
0	293	143921
1	500	122673
2	744	121426
3	990	120867
4	1199	116817
5	1474	119450
6	1703	118033
7	1924	116425
8	2153	115565
9	2423	116823
10	2668	116684
11	2888	115545
12	3100	114258
13	3331	113734
14	3576	113732
15	3817	113583
16	4041	112919
17	4247	111843
18	4486	111695
19	4685	110575
20	4959	111236
21	5217	111463
22	5464	111423
23	5696	111084
24	5919	110573
25	6205	111217
26	6410	110411
27	6671	110559
28	6869	109672
29	7062	108763
30	7249	107810
31	7453	107149
32	7631	106140
33	7811	105219
34	8005	104528
35	8227	104210
36	8420	103550
37	8624	103045
38	8815	102396
39	8999	101689
40	9186	101053
41	9381	100517
42	9582	100058
43	9796	99749
44	9977	99112
45	10162	98533
46	10352	98015
47	10599	98049
48	10859	98177
49	11101	98141
50	11335	98018
51	11558	97804
52	11792	97676
53	12046	97711
54	12258	97401
55	12450	96932
56	12636	96434
57	12843	96107
58	13052	95792
59	13285	95655
60	13477	95223
61	13687	94930
62	13888	94573
63	14090	94231
64	14281	93816
65	14499	93586
66	14693	93205
67	14891	92853
68	15095	92541
69	15318	92348
70	15564	92290
71	15850	92463
72	16049	92117
73	16235	91710
74	16452	91473
75	16774	91817
76	17057	91934
77	17299	91820
78	17522	91605
79	17739	91358
80	17949	91075
81	18181	90909
82	18388	90612
83	18589	90289
84	18782	89935
85	18972	89570
86	19185	89312
87	19417	89145
88	19653	88992
89	19874	88774
90	20085	88509
91	20290	88218
92	20518	88030
93	20711	87693
94	20891	87304
95	21075	86937
96	21271	86620
97	21484	86375
98	21744	86317
99	21970	86123
100	22161	85794
101	22395	85631
102	22615	85413
103	22912	85481
104	23144	85304
105	23341	84999
106	23554	84752
107	23743	84420
108	23979	84257
109	24252	84223
110	24461	83963
111	24696	83793
112	24931	83620
113	25137	83351
114	25388	83229
115	25644	83124
116	25850	82853
117	26045	82550
118	26259	82309
119	26532	82249
120	26735	81973
121	26934	81686
122	27129	81388
123	27330	81110
124	27564	80930
125	27775	80680
126	27971	80390
127	28160	80081
128	28339	79746
129	28530	79446
130	28760	79256
131	28976	79027
132	29174	78750
133	29378	78489
134	29590	78249
135	29800	78008
136	30058	77888
